date,Average_Adjusted,perc_change
2020-10-12,69.10694758097331,11.602257076424396
2020-10-13,69.38972345987956,12.058917765940885
2020-10-14,68.86340798272028,11.208959878328965
2020-10-15,68.70422278510199,10.951888368600638
2020-10-16,68.54718399047852,10.698283130024508
2020-10-19,67.66443294949002,9.272709984930145
2020-10-20,67.41546991136339,8.870654360190242
2020-10-21,67.35807037353516,8.777958644332319
2020-10-22,67.50349150763617,9.012802279601702
2020-10-23,67.81299040052626,9.512618524107609
2020-10-26,67.08471594916449,8.336512859075377
2020-10-27,66.74977620442708,7.795611650068887
2020-10-28,64.91287591722276,4.829162902840823
2020-10-29,64.77272478739421,4.602829907849971
2020-10-30,64.71952268812392,4.516912723433573
2020-11-02,66.05989922417535,6.681514865357794
2020-11-03,66.83558209737141,7.934181383767883
2020-11-04,66.78995704650879,7.860500533524433
2020-11-05,67.0772050221761,8.324383305767322
2020-11-06,67.22619268629286,8.564986605059223
2020-11-09,65.6754544576009,6.060666959716249
2020-11-10,66.83018811543782,7.925470529367706
2020-11-11,67.99177000257704,9.801333447953924
2020-11-12,67.86973253885905,9.60425259175128
2020-11-13,68.52416462368436,10.66110867245368
2020-11-16,68.91263919406467,11.288464392664558
2020-11-17,68.53166241115994,10.673217006487306
2020-11-18,67.68072615729437,9.2990222274706
2020-11-19,68.04288207160101,9.883875398750371
2020-11-20,67.73034053378635,9.379145523228322
2020-11-23,67.25637584262424,8.613730016397499
2020-11-24,67.58255958557129,9.140490974720446
2020-11-25,67.56135728624132,9.106250937455565
2020-11-27,67.60995822482639,9.184737611111219
2020-11-30,67.81498040093317,9.515832217444785
2020-12-01,68.20292557610406,10.142333006243934
2020-12-02,67.3387745751275,8.746797455338076
2020-12-03,67.66616355048285,9.275504768720475
2020-12-04,67.99568430582683,9.807654738256117
2020-12-07,67.64148394266765,9.23564915315143
2020-12-08,67.9315636952718,9.704105021280496
2020-12-09,67.78064346313477,9.460380777415487
2020-12-10,67.27479807535808,8.643480465888482
2020-12-11,67.39422543843587,8.836346215899361
2020-12-14,66.99758084615071,8.195796556195262
2020-12-15,67.05922359890408,8.29534472870888
2020-12-16,67.17698097229004,8.485513577388897
2020-12-17,67.97917196485731,9.780988612977557
2020-12-18,68.25555886162653,10.227331601425291
2020-12-21,67.58470789591472,9.143960326089879
2020-12-22,67.32326465182834,8.721750155350753
2020-12-23,67.59527354770236,9.161023018456707
