date,Average_Adjusted,perc_change
2020-01-02,86.82663735747337,0
2020-01-03,86.15278559923172,-0.7760887427522303
2020-01-06,86.56072679162025,-0.3062545941498808
2020-01-07,85.873012855649,-1.0983086882637385
2020-01-08,85.8186587691307,-1.1609093925781377
2020-01-09,86.32440862059593,-0.5784270267311157
2020-01-10,86.68523141741753,-0.16286009035875212
2020-01-13,87.19672510027885,0.4262375626523404
2020-01-14,86.99004675447941,0.188201918189303
2020-01-15,87.29415901005268,0.5384541735210557
2020-01-16,87.89573015272617,1.2312958647140106
2020-01-17,88.00078323483467,1.3522876309573402
2020-01-21,88.75978954136372,2.2264505948000437
2020-01-22,88.46571870148182,1.887763241665337
2020-01-23,88.88608913123608,2.3719123951371603
2020-01-24,86.90334258973598,0.0883429723839342
2020-01-27,85.55939143896103,-1.459512837396863
2020-01-28,85.98414339125156,-0.9703173955167503
2020-01-29,85.94283330440521,-1.0178950607397788
2020-01-30,85.27329184114933,-1.78901954929888
2020-01-31,83.48139421641827,-3.852784402190342
2020-02-03,84.66288015246391,-2.492043076712818
2020-02-04,85.64177194237709,-1.364633540071443
2020-02-05,86.21426862478256,-0.7052774947043404
2020-02-06,86.22084230184555,-0.6977064574477393
2020-02-07,85.21388521790504,-1.8574393626790795
2020-02-10,85.81631843745708,-1.1636048000531352
2020-02-11,86.11445698142052,-0.8202325895919973
2020-02-12,86.26876100897789,-0.6425175101491658
2020-02-13,86.51327827572823,-0.36090201265657573
2020-02-14,86.78339719772339,-0.04980056934827612
2020-02-18,86.88163477182388,0.06334163803220912
2020-02-19,86.94586309790611,0.1373147044056028
2020-02-20,86.71877464652061,-0.12422767279202342
2020-02-21,86.52423918247223,-0.3482781139572904
2020-02-24,83.7806226015091,-3.508156999589368
2020-02-25,81.60053090751171,-6.019012838704434
2020-02-26,81.45193180441856,-6.190157440886079
2020-02-27,76.89536774158478,-11.43804472698929
2020-02-28,75.6882199794054,-12.828341298316168
2020-03-02,78.12353792786598,-10.023536203268955
2020-03-03,76.40632699429989,-12.001282878515834
2020-03-04,79.19335849583149,-8.791402147954852
2020-03-05,77.35692276060581,-10.906462446403243
2020-03-06,75.4081446453929,-13.150909743365366
2020-03-09,70.10363729298115,-19.260218492214634
2020-03-10,72.55298923328519,-16.439250164004672
2020-03-11,68.79645233228803,-20.76572993487401
2020-03-12,62.083333894610405,-28.497364652039302
2020-03-13,64.8445056527853,-25.317267112609215
2020-03-16,57.794239923357964,-33.437201206567885
2020-03-17,59.25609687715769,-31.753550891076426
2020-03-18,55.59126150980592,-35.974416144976914
2020-03-19,55.90025142580271,-35.61854618916525
2020-03-20,54.22042227908969,-37.55323950199851
2020-03-23,50.487965650856495,-41.85198553412494
2020-03-24,56.31976626440883,-35.13538243737911
2020-03-25,59.40692462027073,-31.579839518963666
2020-03-26,63.05231820046902,-27.38136576581132
2020-03-27,61.314211919903755,-29.383178036174062
2020-03-30,63.52899123728275,-26.832371757381363
2020-03-31,63.137960981577635,-27.282729237074154
2020-04-01,59.31177053973079,-31.68943040424485
2020-04-02,60.28812016174197,-30.564948733958047
2020-04-03,60.00380481407046,-30.89240048877029
2020-04-06,64.05166636034846,-26.230396212809932
2020-04-07,64.08937574923038,-26.18696554449248
2020-04-08,67.20034264028072,-22.604001853013564
2020-04-09,67.9062735028565,-21.790966954898845
2020-04-13,66.7716187722981,-23.097771830788393
2020-04-14,74.52805675938725,-14.164524819096371
2020-04-15,70.91459553316236,-18.326221432254318
2020-04-16,69.98329012468457,-19.39882476784534
2020-04-17,71.78394951298833,-17.324968814066693
2020-04-20,70.32029530033469,-19.010689069047473
2020-04-21,67.81837137788534,-21.892205615805697
2020-04-22,68.80271729081869,-20.75851445501514
2020-04-23,69.65625765174627,-19.775474702578936
2020-04-24,70.60813885182142,-18.679173810312243
2020-04-27,71.28019382804632,-17.905154457866303
2020-04-28,69.494858764112,-19.961361076330558
2020-04-29,71.14845221117139,-18.0568839511237
2020-04-30,70.07881082966924,-19.288811633752175
2020-05-01,67.60195289924741,-22.14145916889093
2020-05-04,68.17292317003012,-21.48386112276141
2020-05-05,68.9722264893353,-20.56328727165812
2020-05-06,67.96959705650806,-21.718035933292125
2020-05-07,70.24737827852368,-19.094669082589636
2020-05-08,70.85077415779233,-18.399725805235235
2020-05-11,70.33822708576918,-18.990036667917785
2020-05-12,68.64673971757293,-20.938156990984353
2020-05-13,67.19003367051482,-22.615874902667045
2020-05-14,68.16756029427052,-21.49003765558914
2020-05-15,68.97248382866383,-20.56299088873191
2020-05-18,71.08870022371411,-18.12570152747561
2020-05-19,70.13323702290654,-19.226127882666404
2020-05-20,71.51262445747852,-17.637459385816854
2020-05-21,70.20298134163022,-19.145801935645636
2020-05-22,70.91450582817197,-18.326324747311904
2020-05-26,71.92119654268026,-17.16689862516041
2020-05-27,72.8439656123519,-16.104126764178964
2020-05-28,73.2582321986556,-15.627007531059133
2020-05-29,73.7110394127667,-15.105500274885156
2020-06-01,73.1428982205689,-15.759840013805034
2020-06-02,73.52065556123853,-15.324769219672618
2020-06-03,74.14908995106816,-14.600988581661367
2020-06-04,73.23573944717646,-15.652912889326718
2020-06-05,75.8915853947401,-12.594121223090374
2020-06-08,76.19915691763163,-12.23988485939795
2020-06-09,75.75075556337833,-12.756317797376626
2020-06-10,74.88462179899216,-13.75386162810247
2020-06-11,70.2787263020873,-19.058564927784513
2020-06-12,71.45858185738325,-17.699701344897655
2020-06-15,72.22196292132139,-16.820499884180904
2020-06-16,73.75630899518728,-15.053362378269158
2020-06-17,73.79505874961615,-15.008733499841762
2020-06-18,73.5290528088808,-15.315097939178699
2020-06-19,71.51734079420567,-17.6320274851114
2020-06-22,71.00869686156511,-18.217843022970385
2020-06-23,71.36985114961863,-17.8018943014201
2020-06-24,68.33090601116419,-21.301909079077348
2020-06-25,68.22860468178988,-21.41973159586229
2020-06-26,67.55314496904612,-22.197672252440793
2020-06-29,68.88062814623117,-20.668782941986805
2020-06-30,69.98737705498934,-19.394117767287508
2020-07-01,70.26202575862408,-19.0777992825534
2020-07-02,70.79495735093951,-18.46401115423823
2020-07-06,71.28366972133517,-17.90115120103794
2020-07-07,70.35910062864423,-18.965996185054085
2020-07-08,70.57759804651141,-18.71434827547582
2020-07-09,69.88556841760874,-19.51137284070633
2020-07-10,70.34805728122592,-18.978715032350728
2020-07-13,70.69662768393755,-18.577259426881945
2020-07-14,72.46672377735376,-16.538603839969646
2020-07-15,74.6974962130189,-13.96937796233853
2020-07-16,74.02325800806284,-14.74591178361293
2020-07-17,76.57280085608363,-11.809551554062539
2020-07-20,76.9499589651823,-11.375170907089101
2020-07-21,76.9014292806387,-11.43106352946927
2020-07-22,78.3763448446989,-9.73237334757515
2020-07-23,78.63760228082538,-9.431477857345753
2020-07-24,77.97023476660252,-10.200098564693022
2020-07-27,78.23080216348171,-9.899997806665949
2020-07-28,77.66433613747358,-10.552408222695233
2020-07-29,79.08113562688231,-8.920651503181109
2020-07-30,78.52047392725945,-9.566376958739836
2020-07-31,77.53387454152107,-10.702663489884019
2020-08-03,77.81248941272497,-10.381777089485007
