symbol,date,open,high,low,close,volume,adjusted,perc_change
NVO,2020-01-02,29.155000686645508,29.200000762939453,29.0049991607666,29.18000030517578,2224800,26.122350692749023,0
NVO,2020-01-03,28.454999923706055,28.700000762939453,28.43000030517578,28.55500030517578,2491200,25.562843322753906,-2.1418722096492786
NVO,2020-01-06,28.4950008392334,28.59000015258789,28.434999465942383,28.5049991607666,2495000,25.518081665039062,-2.3132260753152374
NVO,2020-01-07,28.5,28.5,28.280000686645508,28.475000381469727,2080600,25.491226196289062,-2.4160325534376463
NVO,2020-01-08,28.454999923706055,28.594999313354492,28.334999084472656,28.424999237060547,1826200,25.446462631225586,-2.5873937207000623
NVO,2020-01-09,28.674999237060547,28.864999771118164,28.65999984741211,28.719999313354492,1842000,25.710554122924805,-1.5764146751866561
NVO,2020-01-10,29.2450008392334,29.53499984741211,29.184999465942383,29.34000015258789,2943000,26.265586853027344,0.5483279891731928
NVO,2020-01-13,29.594999313354492,29.635000228881836,29.3799991607666,29.485000610351562,2380400,26.39539337158203,1.0452454376887235
NVO,2020-01-14,29.389999389648438,29.850000381469727,29.385000228881836,29.790000915527344,2506200,26.668434143066406,2.0904835737809893
NVO,2020-01-15,30.739999771118164,31.344999313354492,30.729999542236328,31.19499969482422,5969000,27.926206588745117,6.905411833770395
NVO,2020-01-16,30.799999237060547,30.934999465942383,30.385000228881836,30.655000686645508,4531400,27.442790985107422,5.054829513198913
NVO,2020-01-17,30.729999542236328,30.770000457763672,30.610000610351562,30.655000686645508,2506800,27.442790985107422,5.054829513198913
NVO,2020-01-21,30.68000030517578,30.739999771118164,30.540000915527344,30.56999969482422,2298000,27.36669921875,4.763539624121115
NVO,2020-01-22,30.540000915527344,30.825000762939453,30.540000915527344,30.65999984741211,2430000,27.447269439697266,5.071973661681258
NVO,2020-01-23,30.65999984741211,30.829999923706055,30.530000686645508,30.795000076293945,1750800,27.56812286376953,5.534617416425014
NVO,2020-01-24,31.030000686645508,31.165000915527344,30.44499969482422,30.540000915527344,4056800,27.339841842651367,4.660725844402249
NVO,2020-01-27,30.065000534057617,30.135000228881836,29.954999923706055,29.979999542236328,2117000,26.83852195739746,2.741603437883676
NVO,2020-01-28,30.014999389648438,30.170000076293945,29.895000457763672,30.165000915527344,2245200,27.004140853881836,3.375615661486306
NVO,2020-01-29,30.440000534057617,30.530000686645508,30.325000762939453,30.334999084472656,2604200,27.156322479248047,3.9581881380454433
